,bakso,gado_gado,nasi_goreng,rendang,soto_ayam,accuracy,macro avg,weighted avg
precision,1.0,0.9953703703703703,1.0,1.0,1.0,0.9990974729241877,0.999074074074074,0.9991016512902794
recall,1.0,1.0,1.0,0.9955947136563876,1.0,0.9990974729241877,0.9991189427312775,0.9990974729241877
f1-score,1.0,0.9976798143851509,1.0,0.9977924944812362,1.0,0.9990974729241877,0.9990944617732774,0.9990975237726066
support,220.0,215.0,234.0,227.0,212.0,0.9990974729241877,1108.0,1108.0
