,bakso,gado_gado,nasi_goreng,rendang,soto_ayam,accuracy,macro avg,weighted avg
precision,1.0,1.0,0.9957446808510638,1.0,1.0,0.9990974729241877,0.9991489361702127,0.9991013134649357
recall,1.0,1.0,1.0,1.0,0.9952830188679245,0.9990974729241877,0.999056603773585,0.9990974729241877
f1-score,1.0,1.0,0.997867803837953,1.0,0.9976359338061466,0.9990974729241877,0.9991007475288199,0.9990973682896969
support,220.0,215.0,234.0,227.0,212.0,0.9990974729241877,1108.0,1108.0
