,bakso,gado_gado,nasi_goreng,rendang,soto_ayam,accuracy,macro avg,weighted avg
precision,0.9777777777777777,1.0,1.0,0.995575221238938,1.0,0.9945848375451264,0.9946705998033432,0.9946811248486912
recall,1.0,0.9906976744186047,0.9957264957264957,0.9911894273127754,0.9952830188679245,0.9945848375451264,0.99457932326516,0.9945848375451264
f1-score,0.9887640449438202,0.9953271028037384,0.9978586723768736,0.9933774834437086,0.9976359338061466,0.9945848375451264,0.9945926474748574,0.9946009503928317
support,220.0,215.0,234.0,227.0,212.0,0.9945848375451264,1108.0,1108.0
